"clusters","silhouette_width","sums_of_squares"
"1",0,248.117180572632
"2",0.425834660952239,133.083719522834
"3",0.395883634185701,91.0579702791699
"4",0.377561989927686,72.6065935049245
"5",0.366808095777075,60.0123672746469
"6",0.366092132732247,52.1181428339225
"7",0.351043071333221,45.4129842841003
"8",0.346612710955816,41.3689519189127
"9",0.332656594253257,37.6745740649312
"10",0.340271202655815,34.84598208437
"11",0.339914565908612,33.0925606812682
"12",0.324344944726259,30.9067589422177
"13",0.323145561219862,29.2961270054113
"14",0.319317611955847,27.8341576380426
"15",0.306598151999937,26.7461643095144
"16",0.31775158117029,25.6530399957282
"17",0.310231730552998,24.6237228913958
"18",0.304442761576958,23.7445307531067
"19",0.295285439531786,23.377218224514
"20",0.292604543062107,22.1314207503605
"21",0.291799574559127,21.4760431447968
"22",0.292060322783647,21.2418567228312
"23",0.290003496969595,20.103657163041
"24",0.288523214073838,19.5724618177743
"25",0.288981827363461,18.9728041529874
"26",0.290336886183916,18.4580802275885
"27",0.288716971704295,18.058580349407
"28",0.275535924369015,17.6951368170773
"29",0.287182291927134,17.33074423498
"30",0.281412274743224,17.1203806513304
"31",0.285186920648532,16.6417656987213
"32",0.279798710888022,16.1301924340871
"33",0.276411905266696,16.0110322239767
"34",0.273154153776737,15.6569102017263
"35",0.270056735955243,15.3938884342551
"36",0.275727081195447,15.0709157186339
"37",0.275348122464689,14.6863873961862
"38",0.272416766675385,14.4342758999762
"39",0.269438346864227,14.1938192398097
"40",0.274426345051169,13.9483180565591
