ID,x,y,logisticFit,polyFit,gompertzFit,baranyiFit
0,0.0,-4.541787066481192,-4.384319603816948,-3.6633096174110285,-4.384196342246469,-4.5097556968333565
0,7.390300230946876,-3.153471627727964,-3.526520138509113,-3.4706996960523577,-3.5263697763502933,-3.363031699971141
0,23.094688221709124,-2.9285413839122865,-2.611521570020159,-3.099828486959641,-2.611445836969324,-2.605192160441247
0,48.03695150115472,-2.3128920694238406,-2.17749133635607,-2.612083843134773,-2.1774783801120066,-2.2276572502541145
0,72.05542725173211,-1.8296604070168376,-2.0873760498770935,-2.2503285577077046,-2.0873748503695424,-2.115613482292487
0,96.07390300230962,-1.7039601040913577,-2.0672382083967022,-1.983875777143052,-2.0672387392146447,-2.0778250643808365
0,120.09237875288662,-1.7634346395245548,-2.062738136326516,-1.8022735792321023,-2.0627388237066953,-2.0648936795833763
0,144.11085450346462,-1.79407160898644,-2.0617325386638186,-1.6950700417661282,-2.0617332081264976,-2.0604492317526466
0,169.05311778291065,-1.894137523837668,-2.061504203817094,-1.6512847335124596,-2.061504856999818,-2.0588872526186175
0,192.1478060046196,-1.8931146732687716,-2.0614576104908338,-1.6620512593342602,-2.061458257837785,-2.058392776405379
0,216.16628175519662,-1.8920520173466482,-2.061446389345292,-1.7153321699509245,-2.061447034707271,-2.0582113605631216
0,240.18475750577358,-1.96428894060236,-2.0614438818411145,-1.8012040521776984,-2.061444526627838,-2.058148876489039
0,264.2032332563516,-2.0629198117862297,-2.0614433215087047,-1.9092149838058687,-2.0614439661367214,-2.0581273550200057
0,288.2217090069286,-2.082840691773037,-2.0614431962958406,-2.02891304262671,-2.061443840881566,-2.0581199423034464
0,312.24018475750563,-2.125254157007647,-2.061443168315236,-2.1498463064315105,-2.0614438128900474,-2.0581173891090803
0,336.2586605080836,-2.1464699961579266,-2.06144316206246,-2.2615628530115517,-2.0614438066349976,-2.0581165097004854
0,360.2771362586607,-2.1681457216369577,-2.061443160665476,-2.353610760158113,-2.0614438052371042,-2.058116206801616
0,384.29561200923865,-2.2644901391064667,-2.0614431603535195,-2.4155381056624785,-2.061443804924238,-2.058116102472713
0,408.31408775981566,-2.262949945685477,-2.0614431602834884,-2.436892967315927,-2.0614438048546617,-2.05811606653821
0,432.33256351039256,-2.2873362834117352,-2.061443160268027,-2.40722342290975,-2.0614438048392003,-2.0581160541611174
0,456.3510392609706,-2.31233221123996,-2.061443160264389,-2.316077550235219,-2.0614438048355623,-2.058116049898016
0,480.3695150115476,-2.455074336219838,-2.0614431602634795,-2.153003427083622,-2.0614438048351076,-2.0581160484296555
1,0.0,-3.8528036457681103,-3.9067162355075498,-3.4482134491650873,-3.902226780004042,-3.907655884456115
1,1.379938160187128,-3.735020610111747,-3.6151569653714515,-3.339343872219687,-3.6193629589092504,-3.608671577572848
1,3.033080637651178,-3.2931878578327267,-3.299921123296108,-3.2141936853583823,-3.303790738777456,-3.297519239340539
1,4.134687321792028,-3.0418734295518224,-3.1150425391506933,-3.1339401273595144,-3.1168249134004786,-3.1165319772651365
1,5.513160579473637,-2.8877227497245754,-2.9141318272032364,-3.037002176579219,-2.913582780728052,-2.9184647498283875
1,6.614767263614459,-2.713369362579797,-2.7775900015407293,-2.9622817541287425,-2.77590441529037,-2.7820704624179826
1,7.995437875054367,-2.7133693625797832,-2.63458599576719,-2.8720279152757406,-2.632370853827475,-2.637133119511788
1,8.821642888159998,-2.6000406772727818,-2.56263165853593,-2.8198020211989094,-2.5604529180075586,-2.56335302146794
1,9.923982023553519,-2.4982579829628526,-2.480708844273879,-2.752172431717464,-2.4788302198359093,-2.4787431685608454
1,23.993638137690372,-2.040424889337373,-2.1444509985690896,-2.0816605546381712,-2.1452959085647247,-2.139617945726407
1,47.738975300697476,-1.981001468866577,-2.1231365330885454,-1.6245136626376335,-2.123609458282112,-2.1233006435576094
1,72.03438335452206,-1.8718021769015805,-2.1229739378570773,-1.751347465249373,-2.1234325478697222,-2.1232306464726247
