==ID: 0{'N0': 0.10825207262384626, 'Nmax': -777.2442227468191, 'rmax': 0.00013664053212447937}-133.64662411819816
fffffffffff==ID: 47{'N0': -45629563.15857423, 'Nmax': 84.46160035742821, 'rmax': -44416024.388264954}94.79674306860935

fffffffffff==ID: 48{'N0': -45629563.15857423, 'Nmax': 84.46160035742821, 'rmax': -44416024.388264954}94.79674306860935

fffffffffff==ID: 49{'N0': -45629563.15857423, 'Nmax': 84.46160035742821, 'rmax': -44416024.388264954}94.79674306860935

fffffffffff==ID: 50{'N0': -45629563.15857423, 'Nmax': 84.46160035742821, 'rmax': -44416024.388264954}94.79674306860935

==ID: 51{'N0': 0.10972169943461622, 'Nmax': 46.94444967536025, 'rmax': 0.045404047963767534}13.204126122254936

fffffffffff==ID: 52{'N0': 0.10972169943461622, 'Nmax': 46.94444967536025, 'rmax': 0.045404047963767534}13.204126122254936

fffffffffff==ID: 53{'N0': 0.10972169943461622, 'Nmax': 46.94444967536025, 'rmax': 0.045404047963767534}13.204126122254936

fffffffffff==ID: 54{'N0': 0.10972169943461622, 'Nmax': 46.94444967536025, 'rmax': 0.045404047963767534}13.204126122254936

fffffffffff==ID: 55{'N0': 0.10972169943461622, 'Nmax': 46.94444967536025, 'rmax': 0.045404047963767534}13.204126122254936

fffffffffff==ID: 56{'N0': 0.10972169943461622, 'Nmax': 46.94444967536025, 'rmax': 0.045404047963767534}13.204126122254936

fffffffffff==ID: 57{'N0': 0.10972169943461622, 'Nmax': 46.94444967536025, 'rmax': 0.045404047963767534}13.204126122254936

==ID: 58{'N0': 2.740000180575596, 'Nmax': 4.420233809663033, 'rmax': 1.931294120998714e-06}-172.93256391986446

==ID: 59{'N0': 9.623414401255454, 'Nmax': 132.63511917789447, 'rmax': 0.037235676356906326}42.115316166795765

fffffffffff==ID: 60{'N0': 9.623414401255454, 'Nmax': 132.63511917789447, 'rmax': 0.037235676356906326}42.115316166795765

fffffffffff==ID: 61{'N0': 9.623414401255454, 'Nmax': 132.63511917789447, 'rmax': 0.037235676356906326}42.115316166795765

==ID: 62{'N0': 5.967433714841512, 'Nmax': 116.53552965569793, 'rmax': 0.011341376041165335}60.244307431720294

==ID: 63{'N0': 2.735718716871648, 'Nmax': 3478.2124898437187, 'rmax': 1.3034078042679508e-05}-156.96807287517834

fffffffffff==ID: 64{'N0': 2.735718716871648, 'Nmax': 3478.2124898437187, 'rmax': 1.3034078042679508e-05}-156.96807287517834

fffffffffff==ID: 65{'N0': 2.735718716871648, 'Nmax': 3478.2124898437187, 'rmax': 1.3034078042679508e-05}-156.96807287517834

fffffffffff==ID: 66{'N0': 2.735718716871648, 'Nmax': 3478.2124898437187, 'rmax': 1.3034078042679508e-05}-156.96807287517834

fffffffffff==ID: 67{'N0': 2.735718716871648, 'Nmax': 3478.2124898437187, 'rmax': 1.3034078042679508e-05}-156.96807287517834

fffffffffff==ID: 68{'N0': 2.735718716871648, 'Nmax': 3478.2124898437187, 'rmax': 1.3034078042679508e-05}-156.96807287517834

fffffffffff==ID: 69{'N0': 2.735718716871648, 'Nmax': 3478.2124898437187, 'rmax': 1.3034078042679508e-05}-156.96807287517834

==ID: 70{'N0': 2.7825648080968794, 'Nmax': 69.16167109082468, 'rmax': -2.872682289631439e-06}-77.47746126084374

==ID: 71{'N0': 2.7346560244586184, 'Nmax': 49363.269436365306, 'rmax': 3.384209346503366e-05}-132.14576786465173

fffffffffff==ID: 72{'N0': 2.7346560244586184, 'Nmax': 49363.269436365306, 'rmax': 3.384209346503366e-05}-132.14576786465173

fffffffffff==ID: 73{'N0': 2.7346560244586184, 'Nmax': 49363.269436365306, 'rmax': 3.384209346503366e-05}-132.14576786465173

fffffffffff==ID: 74{'N0': 2.7346560244586184, 'Nmax': 49363.269436365306, 'rmax': 3.384209346503366e-05}-132.14576786465173

fffffffffff==ID: 75{'N0': 2.7346560244586184, 'Nmax': 49363.269436365306, 'rmax': 3.384209346503366e-05}-132.14576786465173

==ID: 76{'N0': 2.701797914217144, 'Nmax': 3449.855759979643, 'rmax': 1.1418037482356538e-05}-141.3626222841568

fffffffffff==ID: 77{'N0': 2.701797914217144, 'Nmax': 3449.855759979643, 'rmax': 1.1418037482356538e-05}-141.3626222841568

fffffffffff==ID: 78{'N0': 2.701797914217144, 'Nmax': 3449.855759979643, 'rmax': 1.1418037482356538e-05}-141.3626222841568

fffffffffff==ID: 79{'N0': 2.701797914217144, 'Nmax': 3449.855759979643, 'rmax': 1.1418037482356538e-05}-141.3626222841568

fffffffffff==ID: 80{'N0': 2.701797914217144, 'Nmax': 3449.855759979643, 'rmax': 1.1418037482356538e-05}-141.3626222841568

